Vardas      Pavarde     ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.      
Vardas156   Pavarde156  9         1         2         2         4         8         9         0         8         3         3         
Vardas157   Pavarde157  1         2         3         3         2         9         2         8         1         5         1         
Vardas158   Pavarde158  1         7         6         4         5         9         7         3         1         3         0         
Vardas159   Pavarde159  5         10        2         5         4         9         3         5         8         4         3         
Vardas160   Pavarde160  4         5         1         0         5         4         5         7         2         0         6         
Vardas161   Pavarde161  5         10        10        7         4         10        5         7         8         4         10        
Vardas162   Pavarde162  7         6         9         10        9         8         2         6         10        0         9         
Vardas163   Pavarde163  6         8         0         5         0         7         9         9         4         10        3         
Vardas164   Pavarde164  6         3         1         0         3         4         5         0         6         9         0         
Vardas165   Pavarde165  3         8         8         1         9         10        3         10        9         1         1         
Vardas166   Pavarde166  8         9         8         5         8         8         5         3         1         5         6         
Vardas167   Pavarde167  6         1         4         7         0         7         10        0         8         10        0         
Vardas168   Pavarde168  6         5         0         7         3         7         0         3         5         6         9         
Vardas169   Pavarde169  5         2         4         2         10        5         4         5         9         3         3         
Vardas170   Pavarde170  4         5         9         2         4         7         7         6         9         7         6         
Vardas171   Pavarde171  8         5         7         8         6         7         7         7         0         3         4         
Vardas172   Pavarde172  9         8         3         3         4         10        10        6         9         10        7         
Vardas173   Pavarde173  3         1         3         0         0         1         1         4         0         2         10        
Vardas174   Pavarde174  6         9         9         4         1         4         2         3         5         6         7         
Vardas175   Pavarde175  7         1         7         7         3         5         3         8         4         4         6         
Vardas176   Pavarde176  6         5         8         2         6         9         5         7         3         8         0         
Vardas177   Pavarde177  6         3         6         1         8         8         0         5         4         1         6         
Vardas178   Pavarde178  4         5         9         2         6         3         4         6         2         3         6         
Vardas179   Pavarde179  8         8         8         8         2         6         4         2         2         5         8         
Vardas180   Pavarde180  9         5         0         1         3         5         3         8         4         0         2         
Vardas181   Pavarde181  7         10        4         0         1         6         9         0         0         5         9         
Vardas182   Pavarde182  8         10        10        7         3         10        1         6         4         9         5         
Vardas183   Pavarde183  3         4         8         7         5         6         2         10        9         10        7         
Vardas184   Pavarde184  5         10        9         0         6         7         2         6         7         9         6         
Vardas185   Pavarde185  3         3         4         8         8         5         0         10        7         0         0         
Vardas186   Pavarde186  5         9         10        8         0         3         2         9         2         2         6         
Vardas187   Pavarde187  9         8         5         7         9         4         9         8         10        8         10        
Vardas188   Pavarde188  2         4         3         5         4         5         5         6         7         8         1         
Vardas189   Pavarde189  8         1         9         2         6         8         4         3         9         1         0         
Vardas190   Pavarde190  4         5         2         10        8         4         4         10        6         3         7         
Vardas191   Pavarde191  1         6         9         1         5         9         3         7         3         8         5         
Vardas192   Pavarde192  5         10        3         7         3         0         3         1         1         8         0         
Vardas193   Pavarde193  8         6         5         4         9         4         2         4         4         8         10        
Vardas194   Pavarde194  8         1         6         3         9         10        10        1         7         2         3         
Vardas195   Pavarde195  7         7         8         8         3         1         7         1         3         10        10        
Vardas196   Pavarde196  5         7         4         0         5         1         2         9         5         7         3         
Vardas197   Pavarde197  10        10        0         3         5         1         5         9         2         1         9         
Vardas198   Pavarde198  2         9         8         1         9         9         0         5         3         8         4         
Vardas199   Pavarde199  10        4         3         8         6         2         5         1         5         9         9         
Vardas200   Pavarde200  9         4         6         10        5         3         5         3         0         6         7         
Vardas201   Pavarde201  8         4         7         9         0         4         10        10        0         2         2         
Vardas202   Pavarde202  0         5         1         2         9         9         8         3         7         2         5         
Vardas203   Pavarde203  10        1         0         8         1         1         9         0         0         0         4         
Vardas204   Pavarde204  7         1         10        9         8         10        9         2         6         5         10        
Vardas205   Pavarde205  10        6         5         10        7         8         9         10        4         4         7         
Vardas206   Pavarde206  2         8         3         4         7         7         7         9         6         8         9         
Vardas207   Pavarde207  1         2         7         6         6         5         2         7         0         3         2         
Vardas208   Pavarde208  8         3         9         2         7         6         7         9         4         6         9         
Vardas209   Pavarde209  10        2         2         4         9         5         5         9         5         1         5         
Vardas210   Pavarde210  3         7         6         7         3         1         3         0         5         9         6         
Vardas211   Pavarde211  7         0         6         0         6         10        9         10        2         9         4         
Vardas212   Pavarde212  9         4         9         3         7         2         10        6         8         1         8         
Vardas213   Pavarde213  4         5         6         8         9         6         5         1         2         6         0         
Vardas214   Pavarde214  5         9         5         7         3         8         0         0         10        9         5         
Vardas215   Pavarde215  3         2         0         0         9         0         6         2         1         9         10        
Vardas216   Pavarde216  1         7         9         8         9         0         6         8         3         6         3         
Vardas217   Pavarde217  9         6         3         4         9         3         10        10        2         10        4         
Vardas218   Pavarde218  4         9         6         10        1         4         1         2         1         8         6         
Vardas219   Pavarde219  6         8         6         4         10        1         9         2         4         3         9         
Vardas220   Pavarde220  5         0         5         5         0         9         10        0         5         4         3         
Vardas221   Pavarde221  8         4         10        9         7         9         7         3         9         7         1         
Vardas222   Pavarde222  2         4         5         4         7         10        1         1         1         4         8         
Vardas223   Pavarde223  6         2         7         2         3         6         1         1         4         8         4         
Vardas224   Pavarde224  10        8         8         2         5         6         7         8         8         7         10        
Vardas225   Pavarde225  9         8         0         2         3         9         2         4         8         7         10        
Vardas226   Pavarde226  1         8         10        3         7         10        2         2         1         7         4         
Vardas227   Pavarde227  4         5         4         6         9         7         4         9         2         5         3         
Vardas228   Pavarde228  6         6         4         0         1         7         4         7         1         2         8         
Vardas229   Pavarde229  9         6         9         3         3         0         4         1         4         1         0         
Vardas230   Pavarde230  1         2         1         0         2         0         4         7         1         1         10        
Vardas231   Pavarde231  10        10        7         0         4         4         10        6         9         5         0         
Vardas232   Pavarde232  5         7         2         7         3         6         6         3         8         1         0         
Vardas233   Pavarde233  9         10        4         5         8         8         3         3         6         2         4         
Vardas234   Pavarde234  0         3         6         0         4         4         0         5         0         6         1         
Vardas235   Pavarde235  1         1         9         3         5         0         0         8         4         10        2         
Vardas236   Pavarde236  5         8         2         5         5         7         10        0         8         3         2         
Vardas237   Pavarde237  2         10        8         4         0         1         10        10        3         0         3         
Vardas238   Pavarde238  5         0         0         1         1         5         0         7         9         6         5         
Vardas239   Pavarde239  0         10        6         3         5         10        6         0         3         5         6         
Vardas240   Pavarde240  4         6         0         3         0         2         6         4         8         10        7         
Vardas241   Pavarde241  10        9         7         9         0         3         1         5         6         8         5         
Vardas242   Pavarde242  2         9         7         4         1         8         5         2         9         3         1         
Vardas243   Pavarde243  4         0         3         8         8         10        9         2         7         9         10        
Vardas244   Pavarde244  10        9         6         3         3         0         2         5         1         5         6         
Vardas245   Pavarde245  3         5         9         0         5         10        2         9         8         8         4         
Vardas246   Pavarde246  6         2         6         9         3         7         2         6         10        6         10        
Vardas247   Pavarde247  1         10        2         2         0         4         1         4         6         9         9         
Vardas248   Pavarde248  6         0         2         2         9         5         5         9         8         10        3         
Vardas249   Pavarde249  1         5         4         1         6         6         7         10        0         1         3         
Vardas250   Pavarde250  2         0         0         8         4         3         10        6         4         6         0         
Vardas251   Pavarde251  6         8         7         4         5         0         8         8         7         0         4         
Vardas252   Pavarde252  2         2         5         8         3         8         5         10        5         7         7         
Vardas253   Pavarde253  3         10        3         0         10        5         6         8         2         8         2         
Vardas254   Pavarde254  10        4         2         1         10        5         6         4         10        10        8         
Vardas255   Pavarde255  5         7         10        7         0         1         5         4         5         0         6         
Vardas256   Pavarde256  2         9         4         10        9         8         10        7         1         1         8         
Vardas257   Pavarde257  2         6         2         2         8         8         4         7         0         1         7         
Vardas258   Pavarde258  3         10        9         9         4         1         10        4         5         4         2         
Vardas259   Pavarde259  9         0         0         10        8         3         9         1         3         10        3         
Vardas260   Pavarde260  4         9         0         10        4         6         0         3         6         2         3         
Vardas261   Pavarde261  8         0         9         2         9         9         1         4         10        4         8         
Vardas262   Pavarde262  7         0         3         1         4         5         4         4         2         4         10        
Vardas263   Pavarde263  6         0         6         5         9         4         4         1         10        2         0         
Vardas264   Pavarde264  8         8         0         3         3         5         8         10        3         8         7         
Vardas265   Pavarde265  7         5         9         3         4         2         9         0         10        5         10        
Vardas266   Pavarde266  3         8         1         5         1         6         3         0         3         5         5         
Vardas267   Pavarde267  7         6         4         1         0         3         6         5         6         3         7         
Vardas268   Pavarde268  1         1         3         2         2         9         8         4         6         7         0         
Vardas269   Pavarde269  1         5         10        4         3         4         5         9         10        7         7         
Vardas270   Pavarde270  7         6         9         9         9         1         8         8         7         6         9         
Vardas271   Pavarde271  1         2         8         10        1         6         2         4         8         9         9         
Vardas272   Pavarde272  8         9         4         2         0         0         3         0         1         5         8         
Vardas273   Pavarde273  6         4         8         0         1         0         7         7         4         6         6         
Vardas274   Pavarde274  9         6         1         4         7         8         10        8         9         4         5         
Vardas275   Pavarde275  0         8         4         7         2         0         5         6         5         7         0         
Vardas276   Pavarde276  5         7         1         7         1         2         3         2         1         3         7         
Vardas277   Pavarde277  6         6         9         7         3         5         9         1         8         0         8         
Vardas278   Pavarde278  4         5         1         10        4         9         9         10        4         6         3         
Vardas279   Pavarde279  5         5         0         0         2         10        0         5         1         5         0         
Vardas280   Pavarde280  4         5         5         3         1         9         6         5         9         0         8         
Vardas281   Pavarde281  5         1         4         7         7         0         6         2         7         7         6         
Vardas282   Pavarde282  1         5         10        10        1         2         9         6         1         7         3         
Vardas283   Pavarde283  1         6         10        4         7         3         5         10        8         3         0         
Vardas284   Pavarde284  7         9         4         6         1         0         0         0         0         6         1         
Vardas285   Pavarde285  0         10        7         3         5         4         9         1         0         5         0         
Vardas286   Pavarde286  4         7         6         4         3         2         7         5         2         1         5         
Vardas287   Pavarde287  9         10        1         1         7         8         9         3         2         0         1         
Vardas288   Pavarde288  6         0         5         0         2         7         3         7         3         7         2         
Vardas289   Pavarde289  4         4         3         5         3         1         1         7         1         0         2         
Vardas290   Pavarde290  6         9         5         4         0         0         2         2         7         7         10        
Vardas291   Pavarde291  9         10        5         9         9         7         2         9         6         2         7         
Vardas292   Pavarde292  4         1         0         6         0         9         6         1         0         10        1         
Vardas293   Pavarde293  2         6         0         4         5         8         0         3         8         6         3         
Vardas294   Pavarde294  3         3         8         8         6         9         7         7         1         4         4         
Vardas295   Pavarde295  6         1         4         8         4         6         3         1         3         6         5         
Vardas296   Pavarde296  6         1         2         1         10        10        6         5         2         5         3         
Vardas297   Pavarde297  10        5         5         0         0         1         0         10        10        1         6         
Vardas298   Pavarde298  7         4         1         10        5         9         4         6         4         4         1         
Vardas299   Pavarde299  7         8         9         10        6         4         10        4         0         6         5         
Vardas300   Pavarde300  6         6         9         3         8         8         1         2         5         5         5         
Vardas301   Pavarde301  1         4         8         8         10        7         6         5         10        9         8         
Vardas302   Pavarde302  9         5         9         6         10        1         10        6         4         6         10        
Vardas303   Pavarde303  10        8         10        4         8         3         5         7         8         4         10        
Vardas304   Pavarde304  10        6         6         4         10        0         10        8         6         8         6         
Vardas305   Pavarde305  9         2         3         8         8         8         0         0         3         2         4         
Vardas306   Pavarde306  4         3         7         3         7         5         7         9         8         4         2         
Vardas307   Pavarde307  8         1         5         3         3         2         1         9         2         8         7         
Vardas308   Pavarde308  2         0         9         1         8         5         6         0         6         3         0         
Vardas309   Pavarde309  7         4         7         5         7         7         9         0         9         7         9         
Vardas310   Pavarde310  5         0         2         3         0         1         9         1         8         9         7         
Vardas311   Pavarde311  0         5         10        9         4         0         0         8         10        10        3         
Vardas312   Pavarde312  6         9         7         6         0         8         4         8         10        7         5         
Vardas313   Pavarde313  3         7         9         7         2         4         3         2         10        8         0         
Vardas314   Pavarde314  4         0         3         2         0         6         3         1         2         5         3         
Vardas315   Pavarde315  5         2         6         2         10        7         3         6         9         8         9         
Vardas316   Pavarde316  5         6         7         7         7         1         2         9         5         0         3         
Vardas317   Pavarde317  3         4         1         2         5         0         5         10        4         6         7         
Vardas318   Pavarde318  6         1         6         10        2         0         5         10        9         10        8         
Vardas319   Pavarde319  5         9         4         7         9         10        9         5         2         9         6         
Vardas320   Pavarde320  4         5         0         4         5         3         7         1         9         9         5         
Vardas321   Pavarde321  7         6         4         3         1         4         10        0         1         4         8         
Vardas322   Pavarde322  4         8         9         6         5         9         8         9         4         6         8         
Vardas323   Pavarde323  1         9         0         9         8         2         10        1         5         3         6         
Vardas324   Pavarde324  4         4         0         8         5         9         8         7         0         8         9         
Vardas325   Pavarde325  9         6         7         5         4         0         6         1         0         10        2         
Vardas326   Pavarde326  8         9         9         3         9         10        1         3         2         10        1         
Vardas327   Pavarde327  1         2         3         8         0         9         0         4         2         0         8         
Vardas328   Pavarde328  2         8         6         1         7         1         3         9         6         6         7         
Vardas329   Pavarde329  6         9         8         0         2         2         4         2         4         2         10        
Vardas330   Pavarde330  6         0         3         10        4         1         4         8         3         7         4         
