Vardas      Pavarde     ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.      
Vardas85    Pavarde85   5         4         2         3         8         7         6         5         9         5         9         
Vardas86    Pavarde86   8         9         6         6         2         3         5         5         2         1         7         
Vardas87    Pavarde87   1         10        3         10        2         9         10        5         8         2         8         
Vardas88    Pavarde88   2         4         0         5         7         10        0         3         6         10        5         
Vardas89    Pavarde89   4         10        6         9         5         9         8         2         7         2         2         
Vardas90    Pavarde90   0         2         10        1         6         2         1         4         9         9         7         
Vardas91    Pavarde91   0         4         5         2         8         3         9         7         9         7         7         
Vardas92    Pavarde92   0         0         1         10        7         6         9         0         2         7         3         
Vardas93    Pavarde93   4         1         0         3         1         8         9         7         3         10        10        
Vardas94    Pavarde94   9         8         7         10        4         0         6         3         0         8         8         
Vardas95    Pavarde95   2         5         7         8         1         2         2         3         7         3         2         
Vardas96    Pavarde96   5         8         7         2         10        9         4         4         4         4         5         
Vardas97    Pavarde97   3         9         6         10        1         0         7         4         3         10        3         
Vardas98    Pavarde98   10        6         1         2         4         8         8         3         3         9         6         
Vardas99    Pavarde99   0         4         10        4         3         1         7         7         10        2         2         
Vardas100   Pavarde100  3         0         7         3         10        9         5         2         5         9         7         
Vardas101   Pavarde101  6         9         6         3         8         3         1         8         7         5         1         
Vardas102   Pavarde102  8         0         10        1         4         5         4         4         0         4         1         
Vardas103   Pavarde103  7         7         9         2         7         5         0         7         5         4         6         
Vardas104   Pavarde104  0         6         8         5         4         8         5         10        3         4         5         
Vardas105   Pavarde105  6         4         10        10        2         0         5         6         8         10        4         
Vardas106   Pavarde106  6         2         0         8         8         7         5         2         1         4         9         
Vardas107   Pavarde107  3         3         0         9         9         8         9         0         6         5         3         
Vardas108   Pavarde108  8         10        9         0         7         6         3         3         0         1         1         
Vardas109   Pavarde109  2         7         1         5         4         6         2         10        9         6         2         
Vardas110   Pavarde110  5         7         3         7         0         5         0         3         0         4         4         
Vardas111   Pavarde111  1         8         5         10        9         7         9         1         0         7         2         
Vardas112   Pavarde112  2         9         6         2         10        7         9         6         10        0         4         
Vardas113   Pavarde113  4         9         6         2         0         5         7         7         4         10        4         
Vardas114   Pavarde114  4         7         10        1         9         4         10        5         6         4         0         
Vardas115   Pavarde115  6         8         4         3         3         7         6         1         10        4         4         
Vardas116   Pavarde116  4         9         5         6         10        0         4         4         2         0         10        
Vardas117   Pavarde117  9         6         10        10        4         3         2         9         9         8         6         
Vardas118   Pavarde118  8         10        10        10        6         3         0         9         3         6         0         
Vardas119   Pavarde119  4         4         3         9         8         6         10        1         2         9         3         
Vardas120   Pavarde120  3         7         8         1         9         9         7         4         8         10        1         
Vardas121   Pavarde121  10        9         6         6         7         0         4         0         2         9         1         
Vardas122   Pavarde122  9         2         8         7         0         1         5         8         2         10        0         
Vardas123   Pavarde123  3         2         10        10        7         7         4         9         5         1         1         
Vardas124   Pavarde124  6         4         6         1         1         10        3         1         4         2         0         
Vardas125   Pavarde125  2         4         4         4         3         6         5         10        2         2         4         
Vardas126   Pavarde126  8         10        3         9         7         6         7         9         10        9         0         
Vardas127   Pavarde127  8         10        5         2         7         6         2         9         10        8         5         
Vardas128   Pavarde128  7         4         4         5         3         4         9         0         5         6         8         
Vardas129   Pavarde129  3         4         10        10        0         10        2         6         8         1         6         
Vardas130   Pavarde130  3         2         2         1         1         5         7         0         7         9         2         
Vardas131   Pavarde131  9         5         1         1         9         6         6         1         9         8         2         
Vardas132   Pavarde132  2         6         1         9         9         5         10        9         0         7         9         
Vardas133   Pavarde133  8         2         10        2         9         3         3         2         3         2         5         
Vardas134   Pavarde134  9         1         1         4         6         9         9         2         6         10        3         
Vardas135   Pavarde135  8         2         7         3         4         7         0         7         1         10        10        
Vardas136   Pavarde136  5         6         10        2         8         8         9         6         8         9         7         
Vardas137   Pavarde137  8         10        6         3         8         4         2         4         4         10        6         
Vardas138   Pavarde138  4         6         4         3         3         2         3         2         3         0         1         
Vardas139   Pavarde139  6         1         4         4         7         9         8         8         1         9         9         
Vardas140   Pavarde140  10        6         7         4         6         1         10        9         10        5         4         
Vardas141   Pavarde141  2         4         4         4         10        4         6         1         6         6         10        
Vardas142   Pavarde142  5         1         4         5         2         5         8         5         4         9         10        
Vardas143   Pavarde143  4         0         7         3         10        10        0         7         0         1         7         
Vardas144   Pavarde144  5         4         0         3         3         10        7         10        2         0         7         
Vardas145   Pavarde145  2         4         0         8         8         0         5         8         3         4         3         
Vardas146   Pavarde146  10        6         5         7         8         2         0         0         0         6         2         
Vardas147   Pavarde147  10        4         8         4         3         0         6         8         7         1         3         
Vardas148   Pavarde148  7         1         3         2         10        5         7         7         3         2         4         
Vardas149   Pavarde149  9         3         6         9         2         7         6         6         6         10        4         
Vardas150   Pavarde150  3         4         4         9         10        9         8         0         0         3         0         
Vardas151   Pavarde151  9         5         6         0         8         2         3         4         7         6         6         
Vardas152   Pavarde152  10        8         3         2         8         8         9         5         4         5         7         
Vardas153   Pavarde153  5         9         0         2         1         10        5         5         8         0         7         
Vardas154   Pavarde154  7         7         10        2         7         9         9         9         3         4         6         
Vardas155   Pavarde155  3         3         9         0         2         4         0         1         2         0         0         
Vardas156   Pavarde156  9         6         5         7         0         3         5         4         8         2         1         
Vardas157   Pavarde157  10        5         1         3         6         6         10        5         0         8         8         
Vardas158   Pavarde158  6         3         9         5         6         10        0         10        7         3         10        
Vardas159   Pavarde159  2         10        9         2         6         8         7         8         1         0         3         
Vardas160   Pavarde160  4         0         7         8         10        4         4         4         9         5         9         
Vardas161   Pavarde161  10        2         5         8         7         8         6         2         3         3         0         
Vardas162   Pavarde162  0         8         3         9         0         4         3         4         3         1         6         
Vardas163   Pavarde163  9         7         10        9         0         9         2         5         5         8         1         
Vardas164   Pavarde164  6         5         1         10        6         3         7         2         9         4         7         
Vardas165   Pavarde165  7         4         7         8         10        3         4         8         2         1         4         
Vardas166   Pavarde166  8         1         1         6         7         1         2         8         8         2         0         
Vardas167   Pavarde167  7         4         2         2         5         0         10        10        9         1         8         
Vardas168   Pavarde168  8         1         2         10        1         5         9         0         1         10        5         
Vardas169   Pavarde169  9         9         4         3         8         9         5         9         4         6         8         
Vardas170   Pavarde170  7         1         1         7         0         6         7         0         9         2         7         
Vardas171   Pavarde171  1         6         9         9         4         5         10        8         9         2         2         
Vardas172   Pavarde172  10        6         5         10        2         2         3         9         1         3         5         
Vardas173   Pavarde173  1         3         6         5         10        4         10        7         2         5         1         
Vardas174   Pavarde174  0         1         0         10        8         8         1         9         7         5         6         
Vardas175   Pavarde175  9         3         0         3         6         2         9         0         5         4         8         
Vardas176   Pavarde176  2         2         9         2         5         9         7         8         9         7         2         
Vardas177   Pavarde177  1         10        3         9         6         0         7         0         7         10        0         
Vardas178   Pavarde178  10        8         0         4         10        6         6         4         8         3         2         
Vardas179   Pavarde179  9         5         10        9         0         8         9         1         5         10        4         
Vardas180   Pavarde180  4         9         8         1         6         5         1         2         6         0         5         
Vardas181   Pavarde181  6         6         0         6         0         8         6         8         4         0         8         
Vardas182   Pavarde182  8         4         7         2         8         6         1         5         7         1         7         
Vardas183   Pavarde183  10        4         5         4         6         4         8         6         1         7         1         
Vardas184   Pavarde184  3         6         1         5         5         7         4         1         10        9         4         
Vardas185   Pavarde185  2         9         1         8         10        6         0         9         9         10        5         
Vardas186   Pavarde186  5         3         2         4         6         10        9         7         1         7         3         
Vardas187   Pavarde187  8         3         8         10        5         8         1         10        7         5         2         
Vardas188   Pavarde188  2         9         4         10        3         4         7         7         6         4         7         
Vardas189   Pavarde189  8         9         6         8         3         6         4         6         9         0         3         
Vardas190   Pavarde190  10        3         0         1         1         5         8         7         10        1         8         
Vardas191   Pavarde191  7         7         5         3         4         4         0         0         9         2         2         
Vardas192   Pavarde192  0         5         2         3         9         2         1         1         1         2         3         
Vardas193   Pavarde193  6         2         9         6         7         2         8         10        9         3         0         
Vardas194   Pavarde194  9         4         6         7         7         10        10        5         4         10        9         
Vardas195   Pavarde195  7         9         5         2         1         2         6         10        7         1         1         
Vardas196   Pavarde196  8         4         2         8         3         9         3         10        1         7         6         
Vardas197   Pavarde197  8         4         6         5         10        7         6         2         2         2         0         
Vardas198   Pavarde198  7         2         8         6         5         9         5         2         0         4         0         
Vardas199   Pavarde199  3         4         1         2         4         1         3         0         5         7         2         
Vardas200   Pavarde200  8         0         2         10        1         3         9         1         3         9         2         
Vardas201   Pavarde201  0         2         10        4         2         3         4         7         8         5         6         
Vardas202   Pavarde202  0         9         1         6         4         2         10        8         8         6         3         
Vardas203   Pavarde203  9         5         4         0         6         9         9         3         1         2         2         
Vardas204   Pavarde204  0         1         4         9         3         2         3         6         9         5         6         
Vardas205   Pavarde205  2         2         3         4         8         7         8         2         7         1         7         
Vardas206   Pavarde206  5         9         4         7         10        6         6         8         9         2         0         
Vardas207   Pavarde207  0         0         1         4         6         1         3         7         3         3         3         
Vardas208   Pavarde208  9         3         7         1         1         10        2         1         10        6         6         
Vardas209   Pavarde209  0         0         2         6         5         5         2         5         3         8         10        
Vardas210   Pavarde210  7         2         9         1         3         2         0         8         1         1         6         
Vardas211   Pavarde211  8         9         2         4         3         10        10        3         5         5         6         
Vardas212   Pavarde212  3         9         1         6         7         8         0         8         2         0         8         
Vardas213   Pavarde213  4         7         10        8         5         4         7         3         9         9         1         
Vardas214   Pavarde214  6         3         6         8         3         6         9         1         1         7         10        
Vardas215   Pavarde215  6         4         10        7         3         6         9         3         2         2         8         
Vardas216   Pavarde216  0         1         0         4         1         0         5         4         5         9         1         
Vardas217   Pavarde217  10        1         6         0         7         5         7         2         2         9         5         
Vardas218   Pavarde218  9         5         1         5         8         9         2         1         3         3         6         
Vardas219   Pavarde219  4         0         3         1         2         5         9         0         6         7         7         
Vardas220   Pavarde220  2         2         8         10        1         3         2         4         8         1         0         
Vardas221   Pavarde221  4         9         7         2         10        9         0         4         4         3         2         
Vardas222   Pavarde222  10        4         6         6         6         1         4         6         2         0         4         
Vardas223   Pavarde223  3         1         10        7         10        4         8         7         9         8         5         
Vardas224   Pavarde224  7         0         3         4         8         10        6         0         2         8         1         
Vardas225   Pavarde225  8         7         0         4         3         6         9         7         0         0         9         
Vardas226   Pavarde226  1         3         2         10        1         6         8         8         5         7         7         
Vardas227   Pavarde227  3         5         0         9         6         10        2         6         9         8         6         
Vardas228   Pavarde228  0         4         9         1         5         10        7         6         10        10        3         
Vardas229   Pavarde229  3         10        6         4         5         9         8         6         10        9         2         
Vardas230   Pavarde230  8         4         10        7         1         10        2         1         7         9         8         
Vardas231   Pavarde231  10        2         6         3         3         9         6         7         9         3         8         
Vardas232   Pavarde232  1         9         1         4         7         0         2         1         4         8         2         
Vardas233   Pavarde233  2         5         0         0         1         0         9         8         7         6         9         
Vardas234   Pavarde234  2         5         2         2         5         6         3         1         3         10        0         
Vardas235   Pavarde235  4         9         0         1         2         7         10        7         1         6         9         
Vardas236   Pavarde236  9         10        10        10        9         1         8         1         1         8         8         
Vardas237   Pavarde237  6         6         2         10        7         4         5         7         3         2         6         
Vardas238   Pavarde238  4         4         9         10        6         3         9         10        6         10        0         
Vardas239   Pavarde239  7         6         1         7         6         0         3         1         5         3         8         
Vardas240   Pavarde240  8         1         3         4         2         1         2         2         3         6         0         
Vardas241   Pavarde241  10        3         1         8         0         4         5         5         8         7         10        
Vardas242   Pavarde242  7         6         6         8         9         10        2         1         3         8         2         
Vardas243   Pavarde243  1         5         7         8         0         1         1         8         0         1         6         
Vardas244   Pavarde244  3         10        9         8         0         1         0         0         7         5         7         
Vardas245   Pavarde245  0         8         10        7         3         7         10        9         2         6         1         
Vardas246   Pavarde246  0         9         2         7         7         4         4         9         6         8         2         
Vardas247   Pavarde247  6         3         1         0         7         1         0         1         4         2         7         
Vardas248   Pavarde248  6         9         3         0         3         3         3         9         4         10        10        
Vardas249   Pavarde249  10        10        9         10        2         0         10        7         5         1         9         
Vardas250   Pavarde250  3         0         6         5         9         2         9         9         2         10        4         
Vardas251   Pavarde251  3         8         1         2         10        5         4         8         0         5         3         
Vardas252   Pavarde252  2         3         9         0         6         5         10        1         10        4         1         
Vardas253   Pavarde253  10        1         0         2         8         5         4         0         8         6         5         
Vardas254   Pavarde254  7         3         5         8         1         3         2         5         8         9         6         
Vardas255   Pavarde255  1         0         10        1         1         1         3         5         3         5         5         
Vardas256   Pavarde256  8         3         9         3         8         6         4         9         7         5         5         
Vardas257   Pavarde257  8         7         9         10        5         9         1         3         8         7         7         
Vardas258   Pavarde258  4         2         7         4         7         5         10        9         5         3         5         
Vardas259   Pavarde259  0         3         9         6         5         2         10        5         2         9         7         
Vardas260   Pavarde260  10        7         6         2         7         6         9         9         9         3         10        
Vardas261   Pavarde261  10        5         2         10        4         5         4         4         10        3         7         
Vardas262   Pavarde262  10        9         8         2         0         6         7         10        10        4         10        
Vardas263   Pavarde263  7         9         1         10        2         4         4         3         10        3         5         
Vardas264   Pavarde264  8         6         0         3         3         6         1         9         7         3         2         
Vardas265   Pavarde265  4         6         0         3         5         1         1         7         3         0         6         
Vardas266   Pavarde266  5         8         8         9         4         0         5         5         4         8         0         
Vardas267   Pavarde267  1         0         10        10        3         7         6         4         9         0         10        
Vardas268   Pavarde268  1         6         2         2         8         6         1         3         2         5         1         
Vardas269   Pavarde269  5         6         6         7         2         7         0         4         10        8         10        
Vardas270   Pavarde270  9         5         8         8         5         6         3         10        4         3         3         
Vardas271   Pavarde271  7         2         4         5         1         2         8         9         6         10        9         
Vardas272   Pavarde272  8         5         2         2         6         1         9         0         5         3         10        
Vardas273   Pavarde273  5         4         2         4         2         8         10        1         10        0         1         
Vardas274   Pavarde274  10        6         6         8         2         7         2         3         2         1         9         
Vardas275   Pavarde275  0         6         4         6         2         7         2         9         9         2         1         
Vardas276   Pavarde276  4         2         5         10        3         9         9         6         2         4         6         
Vardas277   Pavarde277  2         3         10        10        3         9         4         10        10        5         10        
Vardas278   Pavarde278  6         4         7         3         2         3         7         10        7         0         6         
Vardas279   Pavarde279  5         1         2         5         2         0         9         7         9         5         8         
Vardas280   Pavarde280  8         3         5         6         0         5         1         4         2         10        3         
Vardas281   Pavarde281  0         5         3         9         2         9         9         9         1         7         0         
Vardas282   Pavarde282  2         0         1         9         10        2         10        0         3         9         6         
Vardas283   Pavarde283  6         0         6         8         10        3         10        2         3         3         0         
Vardas284   Pavarde284  1         5         9         2         2         5         8         2         8         2         10        
Vardas285   Pavarde285  0         2         10        8         1         7         0         3         7         1         8         
Vardas286   Pavarde286  7         3         6         9         1         9         10        2         3         4         3         
Vardas287   Pavarde287  5         1         9         10        3         2         10        7         1         7         4         
Vardas288   Pavarde288  6         0         6         3         7         8         10        7         0         9         2         
Vardas289   Pavarde289  9         3         10        1         2         7         2         6         5         5         9         
Vardas290   Pavarde290  6         1         10        8         10        10        9         7         3         3         2         
Vardas291   Pavarde291  1         1         10        10        6         0         2         10        8         3         9         
Vardas292   Pavarde292  9         8         4         5         4         10        7         4         4         6         0         
Vardas293   Pavarde293  10        8         9         7         1         2         7         0         10        4         5         
Vardas294   Pavarde294  2         6         3         0         6         8         8         8         5         6         4         
Vardas295   Pavarde295  4         1         7         3         7         4         2         9         9         9         10        
Vardas296   Pavarde296  6         5         10        9         2         1         5         7         2         0         2         
Vardas297   Pavarde297  6         1         0         1         3         1         9         1         7         8         0         
Vardas298   Pavarde298  2         1         7         2         9         2         7         0         8         1         7         
Vardas299   Pavarde299  0         9         1         1         3         5         4         0         8         7         4         
Vardas300   Pavarde300  1         3         6         5         2         0         4         1         5         0         5         
Vardas301   Pavarde301  9         10        1         10        4         9         6         7         0         9         6         
Vardas302   Pavarde302  6         0         7         9         0         3         3         0         8         1         1         
Vardas303   Pavarde303  2         0         2         1         9         5         6         6         10        6         9         
Vardas304   Pavarde304  4         0         1         9         7         4         9         5         5         2         3         
Vardas305   Pavarde305  7         1         3         9         6         5         1         5         3         10        0         
Vardas306   Pavarde306  1         9         9         6         2         1         6         8         10        3         8         
Vardas307   Pavarde307  0         10        8         9         5         2         2         4         6         6         0         
Vardas308   Pavarde308  6         8         9         0         2         0         9         1         5         5         6         
Vardas309   Pavarde309  6         8         2         2         2         8         5         0         2         6         6         
Vardas310   Pavarde310  9         8         0         1         7         7         5         10        2         1         3         
Vardas311   Pavarde311  4         3         0         2         3         6         8         10        4         6         3         
Vardas312   Pavarde312  1         4         3         9         0         5         8         7         7         5         9         
Vardas313   Pavarde313  1         3         8         6         7         3         4         7         9         7         5         
Vardas314   Pavarde314  7         2         2         4         2         5         2         9         9         5         4         
Vardas315   Pavarde315  7         9         3         7         10        4         6         9         10        0         8         
Vardas316   Pavarde316  3         9         6         7         1         9         4         1         3         8         10        
Vardas317   Pavarde317  8         0         5         2         4         10        1         0         10        0         2         
Vardas318   Pavarde318  0         8         9         10        6         9         10        8         3         4         5         
Vardas319   Pavarde319  7         10        4         10        8         4         0         5         0         6         6         
Vardas320   Pavarde320  8         2         0         6         0         8         6         7         9         8         1         
Vardas321   Pavarde321  4         0         2         2         5         1         10        4         0         5         0         
Vardas322   Pavarde322  10        2         10        2         0         2         1         2         10        5         4         
Vardas323   Pavarde323  4         6         4         1         4         10        10        5         0         10        1         
Vardas324   Pavarde324  6         0         6         2         4         6         8         6         10        5         3         
Vardas325   Pavarde325  7         3         4         9         8         7         7         0         4         2         10        
Vardas326   Pavarde326  9         6         8         0         2         7         7         4         4         4         1         
Vardas327   Pavarde327  6         3         0         1         10        8         6         10        4         2         2         
Vardas328   Pavarde328  6         9         8         1         4         10        2         1         4         0         9         
Vardas329   Pavarde329  7         5         8         5         6         2         6         0         8         1         7         
Vardas330   Pavarde330  4         6         4         8         9         2         10        6         1         3         0         
Vardas331   Pavarde331  0         4         4         7         6         2         4         2         4         0         0         
Vardas332   Pavarde332  0         10        5         7         4         7         5         6         6         0         3         
Vardas333   Pavarde333  9         8         8         9         9         4         2         7         3         3         10        
Vardas334   Pavarde334  1         1         1         6         10        0         3         3         0         2         1         
Vardas335   Pavarde335  4         10        0         2         0         10        6         10        5         5         4         
Vardas336   Pavarde336  8         1         10        5         1         2         0         8         10        6         0         
Vardas337   Pavarde337  1         4         0         6         9         0         0         1         8         8         9         
Vardas338   Pavarde338  5         3         8         9         8         0         5         6         0         2         8         
Vardas339   Pavarde339  7         8         7         4         2         9         8         8         3         5         10        
Vardas340   Pavarde340  0         5         1         5         1         3         6         10        10        1         6         
Vardas341   Pavarde341  4         4         10        10        6         0         8         3         7         6         4         
Vardas342   Pavarde342  9         1         6         8         8         7         7         4         3         5         1         
Vardas343   Pavarde343  2         4         6         2         9         3         3         6         7         1         0         
Vardas344   Pavarde344  6         0         2         3         8         5         0         6         0         6         8         
Vardas345   Pavarde345  2         9         8         0         8         4         0         3         0         2         3         
Vardas346   Pavarde346  9         9         3         9         3         0         2         10        8         1         6         
Vardas347   Pavarde347  4         4         8         9         9         1         6         10        5         9         10        
Vardas348   Pavarde348  10        2         10        5         1         9         1         4         6         5         1         
Vardas349   Pavarde349  9         1         3         2         7         6         6         8         2         0         1         
Vardas350   Pavarde350  0         0         7         10        1         2         2         9         2         7         3         
Vardas351   Pavarde351  7         7         8         9         1         2         0         1         2         3         1         
Vardas352   Pavarde352  8         0         8         3         5         6         4         1         7         0         6         
Vardas353   Pavarde353  7         3         10        7         2         0         3         8         10        4         3         
Vardas354   Pavarde354  1         0         9         2         1         7         2         9         8         3         2         
Vardas355   Pavarde355  4         2         4         1         10        10        5         1         8         2         9         
Vardas356   Pavarde356  7         7         9         10        3         0         4         1         3         1         0         
Vardas357   Pavarde357  3         4         8         7         5         0         1         4         10        9         6         
Vardas358   Pavarde358  8         10        4         2         2         10        3         2         0         8         10        
Vardas359   Pavarde359  7         0         9         6         3         9         9         6         10        2         6         
Vardas360   Pavarde360  9         4         10        1         10        9         0         4         9         4         7         
Vardas361   Pavarde361  4         4         7         0         1         2         5         10        6         2         1         
Vardas362   Pavarde362  1         5         0         8         6         6         5         0         8         2         7         
Vardas363   Pavarde363  6         1         10        3         0         3         2         6         6         9         7         
Vardas364   Pavarde364  4         4         10        5         9         2         9         6         8         1         1         
Vardas365   Pavarde365  5         1         9         9         6         8         7         4         2         5         1         
Vardas366   Pavarde366  5         4         9         2         10        9         7         3         0         2         9         
Vardas367   Pavarde367  3         8         8         2         9         3         7         9         2         5         9         
Vardas368   Pavarde368  3         8         0         3         8         5         10        4         1         9         9         
Vardas369   Pavarde369  9         2         10        0         7         5         8         9         7         10        4         
Vardas370   Pavarde370  5         2         6         5         8         2         1         9         0         3         2         
Vardas371   Pavarde371  3         2         2         5         4         7         9         0         2         4         6         
Vardas372   Pavarde372  1         7         0         9         8         7         8         8         5         4         5         
Vardas373   Pavarde373  6         4         8         4         0         10        1         9         1         7         1         
Vardas374   Pavarde374  1         3         5         5         1         7         3         5         7         9         3         
Vardas375   Pavarde375  7         9         0         4         5         2         10        9         9         6         1         
Vardas376   Pavarde376  10        3         7         5         1         0         4         5         3         8         6         
Vardas377   Pavarde377  1         10        9         4         6         9         3         5         1         9         1         
Vardas378   Pavarde378  5         3         0         4         2         6         9         8         9         3         7         
Vardas379   Pavarde379  5         3         2         0         10        5         8         2         0         2         9         
Vardas380   Pavarde380  6         2         7         8         6         6         8         4         7         4         6         
Vardas381   Pavarde381  0         7         3         9         4         2         0         9         6         3         2         
Vardas382   Pavarde382  3         5         0         2         5         3         3         8         4         8         9         
Vardas383   Pavarde383  1         6         8         8         4         4         1         10        0         9         4         
Vardas384   Pavarde384  5         9         9         7         0         0         2         3         5         0         2         
Vardas385   Pavarde385  0         5         8         7         1         6         5         3         9         4         6         
